sample_id,record_submit_time,sample_parameters,sample_holderno,sample_status,result_print,result_email,result_location_id,result_subfolder_id,,exp_id,,exp_default_parameters,exp_composite,exp_description,exp_hidden,exp_type,user_id,user_trained,user_active,user_head,group_id,group_abbr,group_name,group_searchable,group_status,solvent_id,solvent_abbr,solvent_name,cat_id,cat_abbr,cat_name,cat_color,spectrometer_id,spectrometer_name,spectrometer_capacity
4684,13.09.12 16:53,default,1,ARCHIVED,not_printed,emailed,9,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,135,FALSE,inactive,TRUE,3,tl,admin,TRUE,active,1,CDCl3,Chloroform-d,1,PI,PI - Group Leaders,3392FF,5,Alec,60
4685,13.09.12 16:53,default,2,ARCHIVED,not_printed,emailed,9,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,135,FALSE,inactive,TRUE,3,tl,admin,TRUE,active,1,CDCl3,Chloroform-d,1,PI,PI - Group Leaders,3392FF,5,Alec,60
4686,13.09.12 16:53,default,3,ARCHIVED,not_printed,emailed,9,10,00:00:34,302,proton-fast.a.and,ns = 4 ; d1 = 1 ; expt = 34s ; ds = 2 ; td1 = 1,non_composite,1H Observe NS=4,hidden,research_only,135,FALSE,inactive,TRUE,3,tl,admin,TRUE,active,1,CDCl3,Chloroform-d,1,PI,PI - Group Leaders,3392FF,5,Alec,60
4687,13.09.12 16:53,default,3,ARCHIVED,not_printed,emailed,9,11,00:02:27,303,gcosy-fast.a.and,"ns = 1 ; d1 = 0.8s ; expt = 2m 27s ; ds = 16 ; td1 = 128  	",non_composite,2D 1H#1H-DQF-COSY (covariance spectrum in EXPNO 998),hidden,research_only,135,FALSE,inactive,TRUE,3,tl,admin,TRUE,active,1,CDCl3,Chloroform-d,1,PI,PI - Group Leaders,3392FF,5,Alec,60
4688,13.09.12 16:53,default,3,ARCHIVED,not_printed,emailed,9,12,00:02:09,304,ghsqc-fast.a.and,"ns = 1 ; d1 = 1 ; expt = 2m 9s ; ds = 16 ; td1 = 256  	",non_composite,2D 1H#13C-gs-HSQC with multiplicity editing and NUS,visible,research_only,135,FALSE,inactive,TRUE,3,tl,admin,TRUE,active,1,CDCl3,Chloroform-d,1,PI,PI - Group Leaders,3392FF,5,Alec,60
4689,13.09.12 16:53,default,3,ARCHIVED,not_printed,emailed,9,13,00:06:28,305,ghmbc-fast.a.and,"ns = 2 ; d1 = 1 ; expt = 6m 28s ; ds = 16 ; td1 = 256  	",non_composite,2D 1H#13C-gs-HMBC with NUS,hidden,research_only,135,FALSE,inactive,TRUE,3,tl,admin,TRUE,active,1,CDCl3,Chloroform-d,1,PI,PI - Group Leaders,3392FF,5,Alec,60
4709,14.09.12 14:14,default,1,ARCHIVED,not_printed,emailed,9,10,00:00:34,302,proton-fast.a.and,ns = 4 ; d1 = 1 ; expt = 34s ; ds = 2 ; td1 = 1,non_composite,1H Observe NS=4,hidden,research_only,2,TRUE,active,TRUE,3,tl,admin,TRUE,active,1,CDCl3,Chloroform-d,1,PI,PI - Group Leaders,3392FF,5,Alec,60
4710,14.09.12 14:14,default,1,ARCHIVED,not_printed,emailed,9,11,00:02:27,303,gcosy-fast.a.and,"ns = 1 ; d1 = 0.8s ; expt = 2m 27s ; ds = 16 ; td1 = 128  	",non_composite,2D 1H#1H-DQF-COSY (covariance spectrum in EXPNO 998),hidden,research_only,2,TRUE,active,TRUE,3,tl,admin,TRUE,active,1,CDCl3,Chloroform-d,1,PI,PI - Group Leaders,3392FF,5,Alec,60
4711,14.09.12 14:14,default,1,ARCHIVED,not_printed,emailed,9,12,00:02:09,304,ghsqc-fast.a.and,"ns = 1 ; d1 = 1 ; expt = 2m 9s ; ds = 16 ; td1 = 256  	",non_composite,2D 1H#13C-gs-HSQC with multiplicity editing and NUS,visible,research_only,2,TRUE,active,TRUE,3,tl,admin,TRUE,active,1,CDCl3,Chloroform-d,1,PI,PI - Group Leaders,3392FF,5,Alec,60
4712,14.09.12 14:14,default,1,ARCHIVED,not_printed,emailed,9,13,00:06:28,305,ghmbc-fast.a.and,"ns = 2 ; d1 = 1 ; expt = 6m 28s ; ds = 16 ; td1 = 256  	",non_composite,2D 1H#13C-gs-HMBC with NUS,hidden,research_only,2,TRUE,active,TRUE,3,tl,admin,TRUE,active,1,CDCl3,Chloroform-d,1,PI,PI - Group Leaders,3392FF,5,Alec,60
4784,17.09.12 11:29,default,3,ARCHIVED,not_printed,emailed,9,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,2,TRUE,active,TRUE,3,tl,admin,TRUE,active,1,CDCl3,Chloroform-d,1,PI,PI - Group Leaders,3392FF,5,Alec,60
